"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 18 09:17:16 GMT 2025","Tue Feb 18 09:17:16 GMT 2025","29","","com.example.catalog.JSONAPITests.SongControllerTest","","com.example.catalog.JSONAPITests.SongControllerTest","createSong","createSong()",""
"passed","Tue Feb 18 09:17:16 GMT 2025","Tue Feb 18 09:17:16 GMT 2025","84","","com.example.catalog.JSONAPITests.SongControllerTest","","com.example.catalog.JSONAPITests.SongControllerTest","updateSong_Invalid","updateSong_Invalid()",""
"passed","Tue Feb 18 09:17:17 GMT 2025","Tue Feb 18 09:17:17 GMT 2025","12","","com.example.catalog.JSONAPITests.ArtistControllerTest","","com.example.catalog.JSONAPITests.ArtistControllerTest","testGetArtistById_NotFound","testGetArtistById_NotFound()",""
"passed","Tue Feb 18 09:17:13 GMT 2025","Tue Feb 18 09:17:13 GMT 2025","3","","com.example.catalog.CatalogUtilsTest","","com.example.catalog.CatalogUtilsTest","testSortSongsByName","testSortSongsByName()",""
"passed","Tue Feb 18 09:17:13 GMT 2025","Tue Feb 18 09:17:13 GMT 2025","4","","com.example.catalog.CatalogUtilsTest","","com.example.catalog.CatalogUtilsTest","testCountSongsByArtist","testCountSongsByArtist()",""
"passed","Tue Feb 18 09:17:17 GMT 2025","Tue Feb 18 09:17:17 GMT 2025","1","","com.example.catalog.SpotifyUtilsTest","","com.example.catalog.SpotifyUtilsTest","testInvalidURI","testInvalidURI()",""
"passed","Tue Feb 18 09:17:17 GMT 2025","Tue Feb 18 09:17:17 GMT 2025","25","","com.example.catalog.JSONAPITests.ArtistControllerTest","","com.example.catalog.JSONAPITests.ArtistControllerTest","testUpdateArtist","testUpdateArtist()",""
"passed","Tue Feb 18 09:17:17 GMT 2025","Tue Feb 18 09:17:17 GMT 2025","18","","com.example.catalog.JSONAPITests.AlbumControllerTest","","com.example.catalog.JSONAPITests.AlbumControllerTest","testGetAllAlbums","testGetAllAlbums()",""
"passed","Tue Feb 18 09:17:17 GMT 2025","Tue Feb 18 09:17:17 GMT 2025","31","","com.example.catalog.JSONAPITests.ArtistControllerTest","","com.example.catalog.JSONAPITests.ArtistControllerTest","testGetAlbumsByArtist","testGetAlbumsByArtist()",""
"passed","Tue Feb 18 09:17:17 GMT 2025","Tue Feb 18 09:17:17 GMT 2025","1","","com.example.catalog.SpotifyUtilsTest","","com.example.catalog.SpotifyUtilsTest","testInvalidId","testInvalidId()",""
"passed","Tue Feb 18 09:17:16 GMT 2025","Tue Feb 18 09:17:16 GMT 2025","41","","com.example.catalog.JSONAPITests.SongControllerTest","","com.example.catalog.JSONAPITests.SongControllerTest","getAllSongs","getAllSongs()",""
"passed","Tue Feb 18 09:17:17 GMT 2025","Tue Feb 18 09:17:17 GMT 2025","35","","com.example.catalog.JSONAPITests.AlbumControllerTest","","com.example.catalog.JSONAPITests.AlbumControllerTest","testUpdateAlbum","testUpdateAlbum()",""
